"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify proceeding to checkout from cart","293","testProceedToCheckout","All Test Suite","Mon Feb 10 23:05:53 GMT+06:00 2025","passed","Mon Feb 10 23:05:54 GMT+06:00 2025","testcases.TestCartPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCartPage","testProceedToCheckout"
"Verify removing products from cart","5443","testRemoveProductsFromCart","All Test Suite","Mon Feb 10 23:05:26 GMT+06:00 2025","passed","Mon Feb 10 23:05:31 GMT+06:00 2025","testcases.TestCartPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCartPage","testRemoveProductsFromCart"
"","207","Verify products can be sorted by price ascending","All Test Suite","Mon Feb 10 23:06:43 GMT+06:00 2025","passed","Mon Feb 10 23:06:43 GMT+06:00 2025","testcases.TestProductPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestProductPage","testProductSortingByPriceLowToHigh"
"Verify cart persistence after page refresh","779","testCartPersistenceAfterRefresh","All Test Suite","Mon Feb 10 23:05:47 GMT+06:00 2025","passed","Mon Feb 10 23:05:48 GMT+06:00 2025","testcases.TestCartPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCartPage","testCartPersistenceAfterRefresh"
"","1864","Verify successful login with valid credentials","All Test Suite","Mon Feb 10 23:06:08 GMT+06:00 2025","passed","Mon Feb 10 23:06:10 GMT+06:00 2025","testcases.TestLoginPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestLoginPage","testValidLogin"
"Verify cart badge count updates correctly","5482","testCartBadgeUpdates","All Test Suite","Mon Feb 10 23:05:37 GMT+06:00 2025","passed","Mon Feb 10 23:05:42 GMT+06:00 2025","testcases.TestCartPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCartPage","testCartBadgeUpdates"
"","989","Verify successful checkout process","All Test Suite","Mon Feb 10 23:05:58 GMT+06:00 2025","passed","Mon Feb 10 23:05:59 GMT+06:00 2025","testcases.TestCheckoutPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCheckoutPage","testCheckoutProcess"
"","234","Verify products can be sorted by name descending","All Test Suite","Mon Feb 10 23:06:40 GMT+06:00 2025","passed","Mon Feb 10 23:06:40 GMT+06:00 2025","testcases.TestProductPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestProductPage","testProductSortingByNameDescending"
"","1696","Verify locked out user cannot login","All Test Suite","Mon Feb 10 23:06:17 GMT+06:00 2025","passed","Mon Feb 10 23:06:19 GMT+06:00 2025","testcases.TestLoginPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestLoginPage","testLockedOutUser"
"","4598","Verify complete end-to-end order flow","All Test Suite","Mon Feb 10 23:06:01 GMT+06:00 2025","passed","Mon Feb 10 23:06:06 GMT+06:00 2025","testcases.TestEndToEndFlow","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestEndToEndFlow","testEndToEndOrderFlow"
"Verify adding multiple products to cart","801","testAddMultipleProductsToCart","All Test Suite","Mon Feb 10 23:05:20 GMT+06:00 2025","passed","Mon Feb 10 23:05:21 GMT+06:00 2025","testcases.TestCartPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCartPage","testAddMultipleProductsToCart"
"","1694","Verify error message with invalid credentials","All Test Suite","Mon Feb 10 23:06:13 GMT+06:00 2025","passed","Mon Feb 10 23:06:15 GMT+06:00 2025","testcases.TestLoginPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestLoginPage","testInvalidLogin"
"Verify adding single product to cart","269","testAddSingleProductToCart","All Test Suite","Mon Feb 10 23:05:15 GMT+06:00 2025","passed","Mon Feb 10 23:05:15 GMT+06:00 2025","testcases.TestCartPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestCartPage","testAddSingleProductToCart"
"","228","Verify products can be sorted by price descending","All Test Suite","Mon Feb 10 23:06:46 GMT+06:00 2025","passed","Mon Feb 10 23:06:46 GMT+06:00 2025","testcases.TestProductPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestProductPage","testProductSortingByPriceHighToLow"
"","500","Verify successful logout","All Test Suite","Mon Feb 10 23:06:29 GMT+06:00 2025","passed","Mon Feb 10 23:06:30 GMT+06:00 2025","testcases.TestLogoutFunctionality","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestLogoutFunctionality","testLogout"
"","278","Verify cart badge count","All Test Suite","Mon Feb 10 23:06:49 GMT+06:00 2025","passed","Mon Feb 10 23:06:50 GMT+06:00 2025","testcases.TestProductPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestProductPage","testCartBadgeCount"
"","226","Verify products can be sorted by name ascending","All Test Suite","Mon Feb 10 23:06:35 GMT+06:00 2025","passed","Mon Feb 10 23:06:35 GMT+06:00 2025","testcases.TestProductPage","/home/shormi/Documents/Code/Java/Automation_POM","testcases.TestProductPage","testProductSortingByNameAscending"
